Old.item.no	New.item.no	condition	head	ppmod	adverb	verb
1	1	a	The museum	of art	soon	OPEN
1	1	b	The museum	of arts	soon	OPEN
1	1	c	The museum	of art	soon	SHOOTS
1	1	d	The museum	of the photographer	soon	SHOOTS
1	1	e	The museum	of art	soon	SHOOT
1	1	h	The museum	of arts	soon	SHOOT
1	1	g	The museum	of the photographer	soon	SHOOT
1	1	f	The museum	of the photographers	soon	SHOOT
2	2	a	The shredder	near the table	usually	SQUEAL
2	2	b	The shredder	near the tables	usually	SQUEAL
2	2	c	The shredder	near the table	usually	SCANS
2	2	d	The shredder	near the copier	usually	SCANS
2	2	e	The shredder	near the table	usually	SCAN
2	2	h	The shredder	near the tables	usually	SCAN
2	2	g	The shredder	near the copier	usually	SCAN
2	2	f	The shredder	near the copiers	usually	SCAN
3	3	a	The car	with the scratch	silently	APPROACH
3	3	b	The car	with the scratches	silently	APPROACH
3	3	c	The car	with the scratch	loudly	TRANSMITS
3	3	d	The car	with the radio	loudly	TRANSMITS
3	3	e	The car	with the scratch	loudly	TRANSMIT
3	3	h	The car	with the scratches	loudly	TRANSMIT
3	3	g	The car	with the radio	loudly	TRANSMIT
3	3	f	The car	with the radios	loudly	TRANSMIT
4	4	a	The shelf	with the jar	softly	CREAK
4	4	b	The shelf	with the jars	softly	CREAK
4	4	c	The shelf	with the jar	delicately	BLOOMS
4	4	d	The shelf	with the plant	delicately	BLOOMS
4	4	e	The shelf	with the jar	delicately	BLOOM
4	4	h	The shelf	with the jars	delicately	BLOOM
4	4	g	The shelf	with the plant	delicately	BLOOM
4	4	f	The shelf	with the plants	delicately	BLOOM
6	5	a	The boat	with the flag	silently	GLIDE
6	5	b	The boat	with the flags	silently	GLIDE
6	5	c	The boat	with the flag	silently	ROWS
6	5	d	The boat	with the contestant	silently	ROWS
6	5	e	The boat	with the flag	silently	ROW
6	5	h	The boat	with the flags	silently	ROW
6	5	g	The boat	with the contestant	silently	ROW
6	5	f	The boat	with the contestants	silently	ROW
7	6	a	The exit	next to the light	apparently	LEAD
7	6	b	The exit	next to the lights	apparently	LEAD
7	6	c	The exit	next to the light	apparently	DRIES UP
7	6	d	The exit	next to the creek	apparently	DRIES UP
7	6	e	The exit	next to the light	apparently	DRY UP
7	6	h	The exit	next to the lights	apparently	DRY UP
7	6	g	The exit	next to the creek	apparently	DRY UP
7	6	f	The exit	next to the creeks	apparently	DRY UP
8	7	a	The stop	next to the sidewalk	usually	SHELTER
8	7	b	The stop	next to the sidewalks	usually	SHELTER
8	7	c	The stop	next to the sidewalk	usually	SELLS
8	7	d	The stop	next to the shop 	usually	SELLS
8	7	e	The stop	next to sidewalk	usually	SELL
8	7	h	The stop	next to sidewalks	usually	SELL
8	7	g	The stop	next to the shop 	usually	SELL
8	7	f	The stop	next to the shops	usually	SELL
9	8	a	The restaurant	with the fountain	admittedly	GO BANKRUPT
